Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
CBS News,Voters unseated Judge Aaron Persky for giving what many thought was a weak sentence in a disturbing sexual assault… https://t.co/DwSH1wg7ip,Wed Jun 06 23:01:02 +0000 2018,-0.54,0.15,0.26,0.59
CBS News,"In the Phoenix suburb of Mesa, Arizona, four officers were put on paid administrative leave after surveillance vide… https://t.co/mnEeUhNzNu",Wed Jun 06 22:57:17 +0000 2018,-0.05,0.00,0.06,0.94
CBS News,A contractor was arrested as he reported for work at the White House yesterday. He had been wanted for weeks for at… https://t.co/9I6hSIHLZF,Wed Jun 06 22:54:17 +0000 2018,-0.48,0.00,0.13,0.87
CBS News,"Five days before the nuclear summit with North Korea, President Trump's lawyer Rudy Giuliani made a few waves with… https://t.co/CMkmt8bY1C",Wed Jun 06 22:52:00 +0000 2018,0.00,0.00,0.00,1.00
CBS News,A barrage of hail stones hit Dallas overnight with frightening force. @DavidBegnaud has more. https://t.co/t19Rnxg0mg,Wed Jun 06 22:50:06 +0000 2018,-0.44,0.08,0.19,0.73
CBS News,U.S. Air Force flew several children injured in the Guatemalan volcano explosion to the U.S. for treatment of burns… https://t.co/5rlbyuSmUy,Wed Jun 06 22:47:02 +0000 2018,-0.40,0.00,0.12,0.88
CBS News,"Pres. Trump granted clemency to Alice Johnson, a first-time nonviolent drug offender. She had a high-profile advoca… https://t.co/nBIJnr2Eyo",Wed Jun 06 22:39:03 +0000 2018,-0.13,0.11,0.14,0.76
CBS News,"RT @CBSEveningNews: We’re on the air in the East. @JeffGlor is live from Studio 57 in NYC

Thanks for being with us #OriginalReporting #CBS…",Wed Jun 06 22:33:13 +0000 2018,0.44,0.11,0.00,0.89
CBS News,"""Solo: A Star Wars Story"" may chart a new path for the storied sci-fi franchise -- by losing money.… https://t.co/DBr1rwYlML",Wed Jun 06 22:21:16 +0000 2018,-0.74,0.00,0.28,0.72
CBS News,"Jerry Maren, the last surviving member of the group of actors who portrayed the munchkins from ""The Wizard of Oz,""… https://t.co/S03n5FI3Zo",Wed Jun 06 21:59:59 +0000 2018,0.30,0.10,0.00,0.90
CBS News,Severed rattlesnake head bites Texas man who decapitated it https://t.co/dfMHVKShlY https://t.co/Ai7qbJGRdC,Wed Jun 06 21:09:31 +0000 2018,-0.36,0.00,0.20,0.80
CBS News,"Zach Wahls, the Iowa activist who catapulted to internet fame with a viral same-sex moms speech on YouTube, won the… https://t.co/ny36YAbgP9",Wed Jun 06 20:59:38 +0000 2018,0.77,0.27,0.00,0.73
CBS News,"A mother and her disabled son were ""kicked out"" of a @deadpoolmovie screening after moviegoers complained of ""too m… https://t.co/Ja2GhaEFTn",Wed Jun 06 20:32:39 +0000 2018,-0.40,0.00,0.14,0.86
CBS News,"WATCH: When Florida Fish and Wildlife officials show up to catch a feisty alligator, it head butts one of them, kno… https://t.co/sDsC9HQtBM",Wed Jun 06 20:00:08 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"120-pound 5-year-old carried down mountain by rescue team after suffering dehydration. He was a big, fluffy dog nam… https://t.co/K91lFv5Jbx",Wed Jun 06 19:44:36 +0000 2018,0.05,0.15,0.14,0.71
CBS News,Democrats easily flip Missouri state senate seat Republicans have held for more than a decade… https://t.co/TVDNuRXcVL,Wed Jun 06 19:30:01 +0000 2018,0.34,0.15,0.00,0.85
CBS News,"Severe storms, including baseball-sized hail, left a trail of destruction in Texas overnight https://t.co/DerFBFrxsv https://t.co/VzEZbpkUwS",Wed Jun 06 19:09:56 +0000 2018,-0.72,0.07,0.34,0.59
CBS News,"Woman catches foul ball in beer cup at Padres game, proceeds to chug the beer with the ball in it… https://t.co/33ArVMffm8",Wed Jun 06 19:02:37 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"Federal judge rules Trump administration cannot cut off grants to Philadelphia over ""sanctuary city"" fight:… https://t.co/1zzWAiV4oE",Wed Jun 06 18:55:40 +0000 2018,0.04,0.10,0.10,0.80
CBS News,Crocodile kills pastor performing baptism on lake https://t.co/62AFAIyOqp https://t.co/LmPK8AcGrU,Wed Jun 06 18:39:36 +0000 2018,-0.54,0.00,0.30,0.70
CBS News,"House Speaker Paul Ryan breaks with President Trump on ""spygate"" claim: https://t.co/HI0d9JKwQX https://t.co/yvmt6kwWvO",Wed Jun 06 18:25:38 +0000 2018,0.00,0.00,0.00,1.00
CBS News,"“We’ve had three devastating major hurricanes that hit our country within a month's time,” President Trump says. “A… https://t.co/3Orv6qh3oN",Wed Jun 06 18:22:26 +0000 2018,-0.65,0.00,0.20,0.80
CBS News,WATCH LIVE: President Trump receives 2018 hurricane season briefing at FEMA headquarters https://t.co/HaKdP42Znv https://t.co/02GFuEyHMZ,Wed Jun 06 18:12:31 +0000 2018,0.00,0.00,0.00,1.00
CBS News,Colonel Sanders may be rolling over in his grave: KFC is devising a fake meat version with the colonel's tightly he… https://t.co/PDB0olpUmw,Wed Jun 06 18:09:48 +0000 2018,-0.69,0.00,0.23,0.77
CBS News,"A man took a knee during the national anthem at the White House's ""Celebration of America"" event on Tuesday:… https://t.co/758QPRqG0z",Wed Jun 06 17:49:57 +0000 2018,0.00,0.00,0.00,1.00
CBS News,UPS workers have given their union the go-ahead to call a strike in what would be their first walkout in decades… https://t.co/q7zQZ44q9L,Wed Jun 06 17:34:43 +0000 2018,-0.42,0.00,0.17,0.83
CBS News,"""We're talking everything through. There may be disagreements. I regard this as much like a family quarrel. I'm alw… https://t.co/9D1GOSG7mG",Wed Jun 06 17:21:41 +0000 2018,-0.08,0.12,0.13,0.75
CBS News,"Bobby Kennedy died 50 years ago today, after an assassination that shocked the nation. https://t.co/nLmV77t3CN… https://t.co/t1xwEoEBzA",Wed Jun 06 17:20:27 +0000 2018,-0.87,0.00,0.43,0.57
CBS News,"""This is not the Chinese government buying a bunch of natural gas and soybeans from America. This is about reducing… https://t.co/TqmCOTNt5t",Wed Jun 06 17:19:50 +0000 2018,0.36,0.12,0.00,0.88
