Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
The New York Times,"RT @Nate_Cohn: California take-away: the race is going as expected, with the noted and discussed exception of CA-21 https://t.co/fazs4ar1SC",Wed Jun 06 21:01:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Jordan Roth has become Broadway’s singular showman, pushing the boundaries of what it means — and looks like — to b… https://t.co/lXVnt5HYYX",Wed Jun 06 20:50:04 +0000 2018,0.36,0.12,0.00,0.88
The New York Times,"Before the hit television series, movie and sequel, ""Sex and the City"" was a newspaper column https://t.co/FWli7BOPbT",Wed Jun 06 20:40:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"RT @NYTNational: ""Eat a good breakfast then go and dismantle the patriarchy."" A 19-year-old reader shares her advice for graduating student…",Wed Jun 06 20:30:01 +0000 2018,0.62,0.23,0.00,0.77
The New York Times,Greece has declared an economic recovery. Try telling that to the doctors and engineers who fled years ago and have… https://t.co/YZjdsbJvJF,Wed Jun 06 20:20:07 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,“I’m sitting here and being subjected to frankly ridiculous accusations based on the most tenuous connections that… https://t.co/w9PHTTDjaH,Wed Jun 06 20:10:06 +0000 2018,-0.59,0.00,0.23,0.77
The New York Times,"“We voted that sexual violence, including campus sexual violence, must be taken seriously by our elected officials,… https://t.co/CMYXLIfMO5",Wed Jun 06 20:00:07 +0000 2018,-0.87,0.00,0.40,0.60
The New York Times,"RT @nytpolitics: In a letter to senior Trump administration officials, European leaders asked for an exemption from sanctions on Iran https…",Wed Jun 06 19:50:05 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"""Kim Cattrall’s real voice is as unlike the voice of Samantha Jones as a late October morning is unlike a Fourth of… https://t.co/Ggg0WvCoY6",Wed Jun 06 19:40:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,California primary election results https://t.co/om61zaCPNx,Wed Jun 06 19:30:07 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"RT @kevinroose: I hated the scooter craze from afar. Then I went to LA and tried them, and now I want a scooter permanently attached to my…",Wed Jun 06 19:20:08 +0000 2018,-0.67,0.05,0.21,0.74
The New York Times,U.S. Soccer has hired Earnie Stewart as the national team's general manager. His mission: to build a team that can… https://t.co/om9LJPS4AB,Wed Jun 06 19:10:05 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"RT @declanwalsh: Intimidation, abduction and an assault on social media. Can Pakistan's election be free when the journalists covering it a…",Wed Jun 06 19:00:03 +0000 2018,-0.80,0.11,0.34,0.55
The New York Times,Hurricanes are lingering longer. That makes them more dangerous. https://t.co/ibTs2XeJQM https://t.co/3966lHbOuP,Wed Jun 06 18:50:08 +0000 2018,-0.53,0.00,0.25,0.75
The New York Times,"""I've made this dish twice now and, just like other posters here, it was completely gone by the end of the meal"" —… https://t.co/TsFtKK2Xn2",Wed Jun 06 18:40:07 +0000 2018,0.36,0.10,0.00,0.90
The New York Times,He ordered his uncle executed and half brother assassinated. He spent millions developing a hydrogen bomb and ICBMs… https://t.co/EcQ06Izzom,Wed Jun 06 18:30:05 +0000 2018,-0.49,0.00,0.16,0.84
The New York Times,Democratic candidates in California’s 7 most competitive House races are set to advance to the general election and… https://t.co/maodvYh832,Wed Jun 06 18:20:05 +0000 2018,0.25,0.10,0.00,0.90
The New York Times,"RT @joecoscarelli: spoke to @TierraWhack, the word-of-mouth artist of the moment, about her 15-song, 15-minute debut https://t.co/TvXWl6d0d…",Wed Jun 06 18:10:06 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"""First we were students. Then survivors. Now family."" Read how a Parkland class where 1 in 4 students were struck b… https://t.co/qjiUg9KFRT",Wed Jun 06 18:00:09 +0000 2018,-0.25,0.00,0.10,0.90
The New York Times,"RT @nytopinion: “The vast majority of the Eagles team decided to abandon their fans,” Sarah Huckabee Sanders said.

Hardly, says Glen Macno…",Wed Jun 06 17:50:05 +0000 2018,-0.44,0.00,0.12,0.88
The New York Times,What Kate Spade stood for https://t.co/Oz6FiUaOcI https://t.co/bw51tvcEB2,Wed Jun 06 17:40:08 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"“A lump might gather in your throat during the opening titles, and dissolve into sniffles and sobs as the final cre… https://t.co/deGVm8GNQU",Wed Jun 06 17:30:05 +0000 2018,-0.54,0.00,0.14,0.86
The New York Times,"President Trump: “The Fake News Media has been so unfair, and vicious, to my wife and our great First Lady, Melania” https://t.co/azUzOjG0IO",Wed Jun 06 17:20:06 +0000 2018,-0.70,0.13,0.31,0.56
The New York Times,California primary election results https://t.co/4kFTjFY03i,Wed Jun 06 17:10:08 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,President Trump commuted the sentence of a woman serving life in prison on a drug conviction after he was lobbied b… https://t.co/MBHJIOxkyl,Wed Jun 06 16:58:21 +0000 2018,-0.46,0.06,0.15,0.80
The New York Times,The Roy Lichtenstein Foundation is giving around 400 artworks — about half its holdings — to the Whitney Museum https://t.co/W9BcGaCued,Wed Jun 06 16:50:04 +0000 2018,0.34,0.12,0.00,0.88
The New York Times,"San Francisco's new ban on the selling of flavored tobacco products, including menthol cigarettes, is said to be th… https://t.co/GpAdc7wQqs",Wed Jun 06 16:40:10 +0000 2018,-0.56,0.00,0.16,0.84
The New York Times,RT @nytopinion: Scott Pruitt has once again been burnishing his reputation as the Trump administration’s biggest grifter https://t.co/HvrWp…,Wed Jun 06 16:30:14 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"50 years ago, feminists protested the Miss America pageant by throwing bras and girdles into a trash can. Now,… https://t.co/T1XFqkzESw",Wed Jun 06 16:20:07 +0000 2018,-0.27,0.00,0.15,0.85
The New York Times,"A lot remains to be seen, but here’s what we know so far about the California primary https://t.co/A2LspQirrT",Wed Jun 06 16:10:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"RT @NYTmag: 24 couples, 24 hours, 24 covers. On a single day in May, @NYTmag captured couples kissing in a truck, photographing them as the…",Wed Jun 06 16:00:09 +0000 2018,0.57,0.14,0.00,0.86
The New York Times,"Kanye West’s ""Ye"" is here. Let’s discuss. https://t.co/Tx4gaxZyN7 https://t.co/t8N6qhpPzc",Wed Jun 06 15:50:04 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Their class was one of the hardest hit during the Parkland school shooting. Now, those who made it are trying to he… https://t.co/geZ4iRF0Bv",Wed Jun 06 15:40:07 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,Breaking News: Paul Ryan dismissed President Trump’s charge of a spy in his campaign and warned against his pardoni… https://t.co/LDgUqXio1q,Wed Jun 06 15:28:28 +0000 2018,-0.27,0.00,0.10,0.90
The New York Times,"RT @nytimesarts: ""Sex and the City"" premiered on HBO 20 years ago today. Here is the first New York Times article referencing the show. htt…",Wed Jun 06 15:20:13 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"The yacht at the center of Britain's costliest divorce has a spa, a swimming pool, two heliports and room for 18 gu… https://t.co/wfwHQF0dJD",Wed Jun 06 15:10:06 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"The NYT review of ""Ocean's 8"" https://t.co/Sa7qjHrZP4",Wed Jun 06 15:00:21 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,RT @abscribe: Spent some time with a remarkable group of #MSD students from one history class. A story about healing.  ‘Are We Going to Die…,Wed Jun 06 14:50:08 +0000 2018,0.56,0.14,0.00,0.86
The New York Times,RT @tariqpanja: Went to Morocco and Holland to understand how Morocco has come to be team at this year's World Cup with the most foreign bo…,Wed Jun 06 14:40:08 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"In Opinion

The editorial board writes, ""Ambassadors do not represent a president; they represent a state, and they… https://t.co/2sV7taMSVc",Wed Jun 06 14:31:06 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"An unknown caller falsely reported that there was someone with a weapon inside the home of David Hogg, a survivor o… https://t.co/oYkhveVBFO",Wed Jun 06 14:20:06 +0000 2018,0.08,0.11,0.10,0.79
The New York Times,A German far-right leader was swimming in a lake near his house when a man grabbed his clothes. The thief's parting… https://t.co/jmULPWR231,Wed Jun 06 14:11:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,Vladimir Putin is now casting himself as a reliable friend and trading partner to Europe as the Trump Administratio… https://t.co/mLnys22EJW,Wed Jun 06 14:00:10 +0000 2018,0.49,0.15,0.00,0.85
The New York Times,"Bill Clinton admitted that the ""Today"" interview ""wasn't my finest hour."" But then he doubled down on much of what… https://t.co/kuFffClpwV",Wed Jun 06 13:50:06 +0000 2018,0.10,0.07,0.00,0.94
The New York Times,RT @MichaelPaulson: He's one of Broadway's big three theater owners. But he's unlike any theater impresario you've seen before. A profile o…,Wed Jun 06 13:40:04 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,California primary election results https://t.co/H5zUOKoq0v,Wed Jun 06 13:30:07 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Gavin Newsom, the Democratic lieutenant governor and former mayor of San Francisco, took a major step in his bid to… https://t.co/URxxntv4rH",Wed Jun 06 13:14:01 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/lM4Ml4Iq8F https://t.co/Q38v6OjOvD,Wed Jun 06 13:00:07 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Aaron Persky, the California judge who sentenced Brock Turner to just six months in jail for sexually assaulting an… https://t.co/NSlLMUslMi",Wed Jun 06 12:44:04 +0000 2018,-0.53,0.00,0.20,0.80
The New York Times,"The Trump administration is using its envoys, ""even in our closest allies, to advance a nationalist and very aggres… https://t.co/SAcdPBeSOj",Wed Jun 06 12:29:05 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Senator Mitch McConnell announced that he is canceling most of the Senate’s monthlong August recess, a change that… https://t.co/DU2Mppfjr6",Wed Jun 06 12:21:06 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"@AmyMek The reporter was accused by @AmyMek's supporters of ""doxxing"" her and her family. Then they doxxed him. ""Th… https://t.co/RgFezhwnF2",Wed Jun 06 12:15:00 +0000 2018,0.18,0.13,0.10,0.78
The New York Times,"@AmyMek The backlash for the restaurant was instantaneous: It played out on Twitter, on Facebook and in bogus revie… https://t.co/2Lld1QkScX",Wed Jun 06 12:12:12 +0000 2018,0.34,0.11,0.00,0.89
The New York Times,"HuffPost wrote a profile of @AmyMek, a prolific Twitter firebrand who frequently attacks Islam. It revealed her nam… https://t.co/dkbE7MMihH",Wed Jun 06 12:11:03 +0000 2018,-0.44,0.00,0.15,0.85
The New York Times,"Your daily @DealBook Briefing:

• Did national security take a back seat in Facebook’s data sharing? 

• ZTE may so… https://t.co/McAFeF0Ala",Wed Jun 06 12:00:06 +0000 2018,0.64,0.24,0.00,0.76
The New York Times,5 takeaways from Tuesday's primary elections https://t.co/CuTUvtOC68,Wed Jun 06 11:50:04 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Sean Patrick Maloney, a Hudson Valley Democrat and New York's first openly gay member of Congress, will run for New… https://t.co/Acw6PJqSBf",Wed Jun 06 11:40:04 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"A printing error improperly left about 119,000 names off voting rosters in Los Angeles County, forcing many to cast… https://t.co/8T4awtg5Ua",Wed Jun 06 11:31:05 +0000 2018,-0.40,0.00,0.13,0.87
The New York Times,"Nook spent the first few years of his life in an affluent suburb. But when he returned to Baltimore, he became part… https://t.co/AbkzT6PZbo",Wed Jun 06 11:14:04 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,California primary election results https://t.co/FDlBt3Y7RQ,Wed Jun 06 11:00:11 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"""What's happening here is you have a president saying, 'I can do what I want to do.' Well, are you going to do it o… https://t.co/z4GcIzQzPN",Wed Jun 06 10:44:06 +0000 2018,0.34,0.13,0.00,0.87
The New York Times,"All European Union countries must recognize same-sex marriage, at least in relation to immigration cases where one… https://t.co/Vx9Z7p9gjY",Wed Jun 06 10:31:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/zx3R7ub70a https://t.co/iU0ceDkjgx,Wed Jun 06 10:14:06 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"""Of course it has to be led by a man"" he said, ""because it is a very challenging position"" https://t.co/LliNVBNxE8",Wed Jun 06 10:03:04 +0000 2018,0.22,0.10,0.00,0.90
The New York Times,"""When you realize that your country has become a cemetery of dreams, you need to find dreams elsewhere."" Many Greek… https://t.co/kaT3dbNbjD",Wed Jun 06 09:45:02 +0000 2018,0.66,0.23,0.00,0.77
The New York Times,Ethiopia announced that it would accept a 2000 peace agreement with Eritrea over their disputed border https://t.co/Ruxdoq9ni2,Wed Jun 06 09:31:07 +0000 2018,0.78,0.39,0.10,0.51
The New York Times,California primary election results https://t.co/Es2ZYkx9EC,Wed Jun 06 09:16:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Alexander Gauland, the co-leader of a German anti-immigrant party, had his clothes stolen while he was swimming in… https://t.co/BD1xJjJMLv",Wed Jun 06 09:00:05 +0000 2018,-0.13,0.12,0.15,0.73
The New York Times,"Greece's long feud with Macedonia, the Balkan neighbor that claims the same ancient name as its northern region, is… https://t.co/iKBOU20WGs",Wed Jun 06 08:45:04 +0000 2018,-0.34,0.00,0.11,0.89
The New York Times,"The NYT review of ""Ocean's 8"" https://t.co/tZZzL1jstD",Wed Jun 06 08:30:12 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,RT @nytimesworld: Putin disavows any desire to divide the European Union as he watches the Trump administration treat its Western allies as…,Wed Jun 06 08:14:03 +0000 2018,0.66,0.21,0.00,0.79
The New York Times,"Here's a look at the key races in the California primary https://t.co/8IZ85kf0tq
And here are the results, as they… https://t.co/Gma8JIifv5",Wed Jun 06 08:05:04 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"More children in Afghanistan are out of school now than a few years ago, according to a study by Unicef. Its execut… https://t.co/6EzLq5TrIE",Wed Jun 06 08:02:01 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Giant salamander farms in China ""are driving the extinction of most of the species by homogenizing them"" https://t.co/i4X5fbm3AI",Wed Jun 06 07:45:09 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Aaron Persky, the California judge who sentenced a Stanford student to just six months in jail for sexually assault… https://t.co/XElUHKQFrT",Wed Jun 06 07:32:02 +0000 2018,-0.03,0.00,0.06,0.94
The New York Times,"Separating children from migrant families entering the U.S. violates their rights and international law, the UN's h… https://t.co/6EqWJTorcG",Wed Jun 06 07:17:03 +0000 2018,-0.51,0.00,0.16,0.84
The New York Times,"RT @nytDeniseGrady: Immunotherapy can be a lifesaver for people with cancer, but sometimes it can backfire. Here's what happened to 3 patie…",Wed Jun 06 07:01:27 +0000 2018,-0.08,0.10,0.12,0.78
The New York Times,"California voters recalled Judge Aaron Persky, who gave a 6-month sentence for sexual assault. He's the first judge… https://t.co/ohbWSHnixT",Wed Jun 06 06:54:50 +0000 2018,-0.54,0.06,0.18,0.76
The New York Times,"Iran announced that it had completed a new centrifuge assembly center, in a first step to increasing its nuclear en… https://t.co/X0AvNmD8ER",Wed Jun 06 06:45:03 +0000 2018,0.00,0.00,0.00,1.00
The New York Times,"Updated: California election results, as they come in https://t.co/YBMAiq2YVl https://t.co/X7JkeYg3WP",Wed Jun 06 06:31:06 +0000 2018,0.00,0.00,0.00,1.00
